?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/IAO_0000078>	<http://www.w3.org/2000/01/rdf-schema#label>	"curation status specification"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010037>	<http://www.w3.org/2000/01/rdf-schema#label>	"data storage process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000214>	<http://www.w3.org/2000/01/rdf-schema#label>	"support service"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000017>	<http://www.w3.org/2000/01/rdf-schema#label>	"spokesperson role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010002>	<http://www.w3.org/2000/01/rdf-schema#label>	"social science"@en	
<http://purl.obolibrary.org/obo/IAO_0000005>	<http://www.w3.org/2000/01/rdf-schema#label>	"objective specification"@en	
<http://purl.obolibrary.org/obo/IAO_0000429>	<http://www.w3.org/2000/01/rdf-schema#label>	"email address"@en	
<http://edamontology.org/format_3253>	<http://www.w3.org/2000/01/rdf-schema#label>	"Manchester OWL Syntax"	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0010031>	<http://www.w3.org/2000/01/rdf-schema#label>	"dataset creation process"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001042>	<http://www.w3.org/2000/01/rdf-schema#label>	"zone improvement plan code"@en	
<http://purl.obolibrary.org/obo/IAO_0000409>	<http://www.w3.org/2000/01/rdf-schema#label>	"denotator type"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001035>	<http://www.w3.org/2000/01/rdf-schema#label>	"work package textual entity"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001059>	<http://www.w3.org/2000/01/rdf-schema#label>	"collaboration partner role"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000016>	<http://www.w3.org/2000/01/rdf-schema#label>	"software development"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000025>	<http://www.w3.org/2000/01/rdf-schema#label>	"patent"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0001051>	<http://www.w3.org/2000/01/rdf-schema#label>	"funding specification"@en	
<http://purl.obolibrary.org/obo/BFO_0000142>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat line"@en	
<https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000203>	<http://www.w3.org/2000/01/rdf-schema#label>	"specification"@en	
